Student Name,Course 1,Course 2,Course 3,Course 4,Course 5
Steven,CSE 39,CSE 4,CSE 37,CSE 18,CSE 22
Miranda,CSE 35,CSE 25,CSE 18,CSE 39,CSE 26
Ryan,CSE 26,CSE 23,CSE 11,CSE 45,CSE 43
Stuart,CSE 42,CSE 17,CSE 10,CSE 34,CSE 41
Evelyn,CSE 48,CSE 9,CSE 21,CSE 33,CSE 43
Jasmine,CSE 13,CSE 31,CSE 43,CSE 46,CSE 19
William,CSE 25,CSE 40,CSE 20,CSE 26,CSE 40
Vivian,CSE 8,CSE 29,CSE 11,CSE 24,CSE 7
Elian,CSE 49,CSE 22,CSE 28,CSE 25,CSE 39
Frederick,CSE 28,CSE 35,CSE 12,CSE 28,CSE 50
Dexter,CSE 2,CSE 27,CSE 4,CSE 43,CSE 12
Fiona,CSE 23,CSE 23,CSE 33,CSE 8,CSE 24
Naomi,CSE 1,CSE 43,CSE 18,CSE 21,CSE 21
Vivian,CSE 6,CSE 42,CSE 38,CSE 4,CSE 22
Daniel,CSE 47,CSE 25,CSE 25,CSE 18,CSE 15
Chelsea,CSE 10,CSE 38,CSE 8,CSE 22,CSE 33
Alen,CSE 35,CSE 22,CSE 5,CSE 10,CSE 3
David,CSE 13,CSE 29,CSE 29,CSE 19,CSE 37
Miley,CSE 19,CSE 41,CSE 43,CSE 32,CSE 4
Patrick,CSE 24,CSE 13,CSE 38,CSE 32,CSE 45
Olivia,CSE 15,CSE 40,CSE 26,CSE 31,CSE 4
Maddie,CSE 41,CSE 33,CSE 34,CSE 29,CSE 50
Jessica,CSE 32,CSE 25,CSE 43,CSE 25,CSE 44
Albert,CSE 3,CSE 47,CSE 9,CSE 36,CSE 41
Andrew,CSE 1,CSE 45,CSE 6,CSE 19,CSE 37
Elise,CSE 1,CSE 25,CSE 14,CSE 17,CSE 27
Madaline,CSE 2,CSE 47,CSE 23,CSE 22,CSE 46
Belinda,CSE 48,CSE 11,CSE 7,CSE 13,CSE 33
Derek,CSE 42,CSE 47,CSE 35,CSE 26,CSE 3
Dominik,CSE 29,CSE 40,CSE 15,CSE 39,CSE 11
Kirsten,CSE 42,CSE 16,CSE 17,CSE 38,CSE 19
Jasmine,CSE 8,CSE 37,CSE 8,CSE 13,CSE 6
Jasmine,CSE 34,CSE 1,CSE 29,CSE 22,CSE 25
Sam,CSE 2,CSE 17,CSE 7,CSE 44,CSE 18
Frederick,CSE 10,CSE 12,CSE 15,CSE 7,CSE 15
Sophia,CSE 9,CSE 9,CSE 15,CSE 27,CSE 37
Kevin,CSE 19,CSE 5,CSE 49,CSE 9,CSE 29
Sawyer,CSE 28,CSE 13,CSE 44,CSE 32,CSE 48
George,CSE 47,CSE 13,CSE 16,CSE 24,CSE 2
Audrey,CSE 9,CSE 27,CSE 46,CSE 11,CSE 32
Oscar,CSE 37,CSE 14,CSE 47,CSE 1,CSE 23
Freddie,CSE 10,CSE 9,CSE 25,CSE 12,CSE 31
Chloe,CSE 50,CSE 45,CSE 17,CSE 9,CSE 35
Violet,CSE 7,CSE 7,CSE 38,CSE 45,CSE 22
Nicholas,CSE 16,CSE 6,CSE 15,CSE 16,CSE 1
Rubie,CSE 33,CSE 16,CSE 1,CSE 50,CSE 20
Emma,CSE 20,CSE 11,CSE 36,CSE 21,CSE 3
Sawyer,CSE 45,CSE 34,CSE 49,CSE 30,CSE 21
Miranda,CSE 40,CSE 41,CSE 20,CSE 33,CSE 44
Rosie,CSE 40,CSE 12,CSE 26,CSE 28,CSE 10
Frederick,CSE 30,CSE 16,CSE 15,CSE 17,CSE 22
Dale,CSE 31,CSE 25,CSE 28,CSE 2,CSE 1
Sydney,CSE 46,CSE 13,CSE 25,CSE 16,CSE 32
Rafael,CSE 20,CSE 28,CSE 38,CSE 28,CSE 11
Tess,CSE 1,CSE 11,CSE 26,CSE 20,CSE 18
Aston,CSE 13,CSE 23,CSE 32,CSE 5,CSE 14
Albert,CSE 34,CSE 45,CSE 33,CSE 43,CSE 9
Alina,CSE 17,CSE 31,CSE 20,CSE 38,CSE 16
Steven,CSE 7,CSE 23,CSE 40,CSE 5,CSE 41
Maximilian,CSE 26,CSE 21,CSE 39,CSE 19,CSE 48
Mary,CSE 46,CSE 12,CSE 15,CSE 32,CSE 33
Ned,CSE 15,CSE 26,CSE 36,CSE 41,CSE 17
Ryan,CSE 42,CSE 11,CSE 9,CSE 7,CSE 34
Naomi,CSE 13,CSE 36,CSE 8,CSE 48,CSE 45
Brianna,CSE 18,CSE 22,CSE 31,CSE 15,CSE 23
Lucas,CSE 33,CSE 12,CSE 43,CSE 13,CSE 35
