Student Name,Course 1,Course 2,Course 3,Course 4,Course 5
Steven,Course 42,Course 33,Course 50,Course 21,Course 7
Miranda,Course 5,Course 8,Course 15,Course 29,Course 4
Ryan,Course 50,Course 46,Course 36,Course 35,Course 7
Stuart,Course 17,Course 10,Course 1,Course 25,Course 8
Evelyn,Course 46,Course 24,Course 15,Course 30,Course 29
Jasmine,Course 23,Course 32,Course 40,Course 26,Course 39
William,Course 49,Course 42,Course 22,Course 4,Course 40
Vivian,Course 42,Course 7,Course 40,Course 5,Course 25
Elian,Course 23,Course 45,Course 39,Course 3,Course 6
Frederick,Course 50,Course 24,Course 2,Course 32,Course 19
Dexter,Course 3,Course 5,Course 1,Course 9,Course 42
Fiona,Course 13,Course 33,Course 26,Course 32,Course 24
Naomi,Course 14,Course 24,Course 43,Course 34,Course 23
Vivian,Course 21,Course 13,Course 18,Course 18,Course 41
Daniel,Course 8,Course 19,Course 43,Course 21,Course 45
Chelsea,Course 6,Course 10,Course 39,Course 44,Course 21
Alen,Course 19,Course 8,Course 18,Course 12,Course 40
David,Course 23,Course 43,Course 24,Course 25,Course 2
Miley,Course 24,Course 13,Course 6,Course 7,Course 22
Patrick,Course 10,Course 50,Course 15,Course 8,Course 11
Olivia,Course 9,Course 42,Course 9,Course 49,Course 4
Maddie,Course 38,Course 23,Course 3,Course 46,Course 49
Jessica,Course 49,Course 48,Course 49,Course 50,Course 30
Albert,Course 39,Course 37,Course 49,Course 45,Course 1
Andrew,Course 17,Course 6,Course 36,Course 18,Course 16
Elise,Course 30,Course 15,Course 47,Course 50,Course 26
Madaline,Course 16,Course 27,Course 8,Course 40,Course 25
Belinda,Course 29,Course 8,Course 47,Course 9,Course 13
Derek,Course 36,Course 12,Course 38,Course 1,Course 36
Dominik,Course 31,Course 25,Course 26,Course 8,Course 36
Kirsten,Course 1,Course 4,Course 30,Course 45,Course 50
Jasmine,Course 25,Course 39,Course 19,Course 15,Course 42
Jasmine,Course 49,Course 43,Course 32,Course 25,Course 30
Sam,Course 40,Course 31,Course 48,Course 36,Course 47
Frederick,Course 1,Course 46,Course 19,Course 22,Course 12
Sophia,Course 47,Course 21,Course 27,Course 1,Course 26
Kevin,Course 48,Course 34,Course 26,Course 23,Course 45
Sawyer,Course 15,Course 11,Course 27,Course 23,Course 13
George,Course 19,Course 48,Course 15,Course 21,Course 20
Audrey,Course 15,Course 36,Course 41,Course 12,Course 2
Oscar,Course 42,Course 44,Course 46,Course 1,Course 17
Freddie,Course 44,Course 20,Course 22,Course 49,Course 11
Chloe,Course 3,Course 38,Course 10,Course 4,Course 41
Violet,Course 21,Course 48,Course 36,Course 24,Course 29
Nicholas,Course 11,Course 17,Course 29,Course 18,Course 39
Rubie,Course 23,Course 1,Course 48,Course 20,Course 45
Emma,Course 10,Course 44,Course 32,Course 33,Course 25
Sawyer,Course 3,Course 40,Course 8,Course 16,Course 6
Miranda,Course 28,Course 24,Course 37,Course 17,Course 10
Rosie,Course 15,Course 8,Course 12,Course 5,Course 27
Frederick,Course 25,Course 41,Course 18,Course 4,Course 31
Dale,Course 47,Course 36,Course 38,Course 37,Course 23
Sydney,Course 36,Course 26,Course 35,Course 26,Course 31
